,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
2,2199,Tyson Chandler,1610612741,CHI,19,71,19,52,0.268,19.6,2.1,4.3,0.497,0,0,0,1.9,3.1,0.604,1.6,3.2,4.8,0.8,1.4,0.4,1.3,0.3,2.5,0,6.1,-3,16.8,7,0,15,31,6,57,16,20,24,10,34,51,34,7,6,52,7,3,6,30,9,27,5,42,10,9,19,60,13,3,2,5,"21,991,610,612,741",19,1
6,2207,Joe Johnson,1610612756,PHX,21,77,38,39,0.494,24.9,3.3,7.6,0.43,0.5,1.7,0.292,0.5,0.7,0.774,1,2.4,3.3,2.3,0.9,0.8,0.3,0.4,1.5,0,7.5,-0.6,17.2,2,0,9,10,12,32,9,11,10,26,13,12,20,44,49,18,23,17,20,9,23,12,32,20,30,16,11,29,12,10,2,5,"22,071,610,612,756",29,1
13,101122,Danny Granger,1610612754,IND,23,78,39,39,0.5,22.6,2.8,6.1,0.462,0.4,1.2,0.323,1.5,1.9,0.777,1.7,3.2,4.9,1.2,1,0.7,0.8,0.4,2.7,1.8,7.5,-0.7,18.8,6,0,11,4,21,33,10,15,15,24,20,20,25,14,13,28,5,6,5,20,24,7,2,20,10,12,15,38,8,6,2,5,"1,011,221,610,612,750",14,1
19,2731,Emeka Okafor,1610612766,CHA,22,73,16,57,0.219,35.6,6.1,13.7,0.447,0,0,0,2.9,4.7,0.609,3.8,7.1,10.9,0.9,1.7,0.8,1.7,1.2,2.9,0,15.1,-4.7,35.5,47,0,18,31,4,54,1,1,1,23,40,53,40,2,2,46,1,1,1,30,7,11,2,1,4,1,1,66,1,1,2,5,"27,311,610,612,766",20,1
27,1716,Larry Hughes,1610612755,PHI,20,50,28,22,0.56,19.8,3.4,8.3,0.411,0.2,1,0.154,2.1,3,0.709,1.7,2.1,3.8,1.5,1.4,0.9,0.3,1,1.9,0,9.1,0.3,18.1,1,0,1,5,14,18,15,12,9,34,22,16,35,5,6,29,7,13,8,12,13,9,22,3,20,12,11,18,10,12,1,5,"17,161,610,612,755",18,1
45,1889,Andre Miller,1610612739,CLE,24,82,32,50,0.39,25.6,4.1,9.2,0.449,0.1,0.6,0.204,2.8,3.6,0.774,1,2.4,3.4,5.8,2,1,0.2,1.1,2.4,0.4,11.1,-1.3,25.6,8,1,1,15,7,42,7,7,6,13,25,25,27,4,5,11,19,11,14,2,6,10,24,2,11,6,6,39,4,4,2,5,"18,891,610,612,739",12,1
48,200750,Brandon Roy,1610612757,POR,22,57,23,34,0.404,35.3,6.1,13.4,0.456,1,2.6,0.377,3.5,4.2,0.838,1,3.4,4.4,4,2,1.2,0.2,0.5,2.4,4,16.8,-3.4,30.1,4,0,28,26,21,38,1,1,1,27,6,5,11,1,1,11,16,3,8,1,1,4,29,6,8,1,1,76,1,5,1,5,"2,007,501,610,612,750",17,1
51,201144,Mike Conley,1610612763,MEM,20,53,14,39,0.264,26.1,3.6,8.3,0.428,0.6,1.7,0.33,1.7,2.3,0.732,0.4,2.2,2.6,4.2,1.7,0.8,0,0.7,1.6,2.1,9.4,-5.4,19.8,2,0,26,34,12,52,8,9,7,31,8,8,11,12,11,24,44,20,28,2,5,8,49,6,27,10,7,59,8,9,1,5,"2,011,441,610,612,760",29,1
74,201599,DeAndre Jordan,1610612746,LAC,20,53,11,42,0.208,14.6,1.8,2.8,0.633,0,0,0,0.8,2.1,0.385,1.4,3.1,4.5,0.2,0.8,0.2,1.1,0.2,1.8,1.6,4.3,-4.6,13.2,3,0,34,43,14,57,29,35,45,3,34,49,34,35,17,51,16,12,13,50,33,48,4,41,25,19,37,59,26,12,2,5,"2,015,991,610,612,740",10,1
91,2547,Chris Bosh,1610612761,TOR,20,75,29,46,0.387,33.5,4.4,9.5,0.459,0.1,0.2,0.357,2.7,3.8,0.701,2.5,4.9,7.4,1,1.4,0.8,1.4,0.9,2.9,0,11.5,-2.2,27.1,13,0,9,15,7,45,5,4,6,15,35,44,12,4,4,37,1,1,1,24,14,13,1,4,2,5,5,54,5,2,2,5,"25,471,610,612,761",4,1
105,2548,Dwyane Wade,1610612748,MIA,22,61,34,27,0.557,35,6.1,13.1,0.465,0.3,0.9,0.302,3.8,5.1,0.747,1.4,2.7,4,4.5,3.2,1.4,0.6,1.2,2.3,0,16.2,1.4,30.6,1,0,22,11,28,18,4,3,3,13,21,21,24,3,3,30,12,12,11,4,2,2,8,2,14,5,3,8,3,14,2,5,"25,481,610,612,748",3,1
109,1713,Vince Carter,1610612761,TOR,22,50,23,27,0.46,35.2,6.9,15.3,0.45,0.4,1.3,0.288,4.1,5.4,0.761,1.9,3.8,5.7,3,2.2,1.1,1.5,0.8,2.8,0,18.3,0.9,35.2,6,0,1,11,9,39,2,1,1,20,13,14,21,1,1,18,5,4,5,3,4,5,1,5,7,10,1,13,1,3,1,5,"17,131,610,612,761",10,1
112,201142,Kevin Durant,1610612760,SEA,19,80,19,61,0.238,34.6,7.3,17.1,0.43,0.7,2.6,0.288,4.9,5.6,0.873,0.9,3.5,4.4,2.4,2.9,1,0.9,1.1,1.5,3.9,20.3,-8.1,32,1,0,4,29,1,54,1,1,1,28,5,6,17,1,1,4,26,5,10,4,1,4,6,1,30,1,1,64,1,13,1,5,"2,011,421,610,612,760",1,1
156,201143,Al Horford,1610612737,ATL,22,81,37,44,0.457,31.4,4.1,8.2,0.499,0,0.1,0,1.9,2.6,0.731,3.1,6.6,9.7,1.5,1.7,0.7,0.9,0.6,3.3,2.2,10.1,-1.4,27.4,25,0,3,9,8,33,2,4,8,13,38,43,38,7,7,25,1,1,1,10,4,12,5,11,1,7,6,39,2,1,1,5,"2,011,431,610,612,730",8,1
158,1497,Chauncey Billups,1610612761,TOR,21,80,28,52,0.35,27.7,3.5,9.4,0.374,1.3,4.1,0.329,2.8,3.3,0.85,0.8,1.6,2.4,3.9,2.2,1.3,0.1,0.7,2.2,0,11.2,-5.6,21.9,0,0,5,11,8,41,10,12,7,44,1,1,17,5,7,6,24,22,21,5,6,4,52,7,20,16,8,59,8,18,1,5,"14,971,610,612,761",23,1
164,101115,Andrew Bynum,1610612747,LAL,18,46,29,17,0.63,7.4,0.7,1.8,0.402,0,0,0,0.2,0.6,0.296,0.7,1,1.7,0.2,0.4,0.1,0.5,0.3,1.2,0.5,1.6,-1,5.3,0,0,33,15,36,14,59,67,66,53,53,61,53,73,58,75,25,48,43,68,66,73,9,25,51,55,71,46,55,23,2,5,"1,011,151,610,612,740",6,1
171,201572,Brook Lopez,1610612751,NJN,21,82,34,48,0.415,30.5,5.5,10.3,0.531,0,0,0,2.1,2.6,0.793,2.7,5.4,8.1,1,1.8,0.5,1.8,0.9,3.1,2.3,13,-1.3,29.7,18,0,1,12,10,36,7,4,6,7,34,46,34,11,11,19,4,2,2,22,7,22,1,8,4,11,6,35,3,2,2,5,"2,015,721,610,612,750",19,1
180,2549,Chris Kaman,1610612746,LAC,22,82,28,54,0.341,22.6,2.4,5.3,0.46,0,0,0,1.2,1.7,0.697,1.5,4.1,5.6,1,1.9,0.3,0.9,0.7,2.6,0,6.1,-2.6,16,6,0,1,19,2,49,12,15,19,14,41,52,41,13,11,38,7,3,4,25,7,43,2,6,7,5,16,56,12,6,2,5,"25,491,610,612,746",17,1
187,2210,Richard Jefferson,1610612751,NJN,22,79,51,28,0.646,24.3,3.4,7.5,0.457,0.2,0.7,0.232,2.4,3.4,0.713,1.1,2.6,3.7,1.8,1.4,0.8,0.6,0.7,2.7,0,9.4,1.3,19.4,0,0,6,2,24,8,11,9,11,16,22,22,26,5,5,32,21,13,16,13,10,11,14,9,6,16,6,5,9,23,2,5,"22,101,610,612,751",25,1
195,1894,Corey Maggette,1610612753,ORL,20,77,37,40,0.481,17.8,2.9,6.1,0.478,0,0.1,0.182,2.5,3.4,0.751,1.6,2.3,3.9,0.8,1.8,0.3,0.3,0.6,2.2,0.1,8.4,-0.7,14.5,2,0,8,8,13,31,20,14,16,9,32,36,28,6,6,15,9,12,8,28,8,32,15,10,16,30,11,29,18,9,4,5,"18,941,610,612,753",26,1
